#abs/rel,interp,NumPerPoint,NumSegs,,
abs,lin,2,1,Hz,dB
#segment0,,,,,
#type,numPoints,,,,
2110000000,-35.27377472,,,,
2120000000,-35.30248024,,,,
2130000000,-35.35118576,,,,
2140000000,-35.38989128,,,,
2150000000,-35.4285968,,,,
2160000000,-35.46730232,,,,
2170000000,-35.50600784,,,,
2180000000,-35.54471336,,,,
2190000000,-35.58341888,,,,
2200000000,-35.6221244,,,,
2210000000,-35.65082992,,,,
2220000000,-35.68953544,,,,
2230000000,-35.73824096,,,,
2240000000,-35.76694648,,,,
2250000000,-35.805652,,,,
2260000000,-35.85435752,,,,
2270000000,-35.88306304,,,,
2280000000,-35.92176856,,,,
2290000000,-35.95047408,,,,
2300000000,-35.9991796,,,,
2310000000,-36.02788512,,,,
2320000000,-36.06659064,,,,
2330000000,-36.10529616,,,,
2340000000,-36.14400168,,,,
2350000000,-36.1727072,,,,
2360000000,-36.21141272,,,,
2370000000,-36.25011824,,,,
2380000000,-36.27882376,,,,
2390000000,-36.31752928,,,,
2400000000,-36.3562348,,,,
2410000000,-36.38494032,,,,
2420000000,-36.42364584,,,,
2430000000,-36.45235136,,,,
2440000000,-36.49105688,,,,
2450000000,-36.5197624,,,,
2460000000,-36.54846792,,,,
2470000000,-36.58717344,,,,
2480000000,-36.62587896,,,,
2490000000,-36.65458448,,,,
2500000000,-36.69329,,,,
2510000000,-36.72199552,,,,
2520000000,-36.76070104,,,,
2530000000,-36.78940656,,,,
2540000000,-36.81811208,,,,
2550000000,-36.8568176,,,,
2560000000,-36.88552312,,,,
2570000000,-36.92422864,,,,
2580000000,-36.95293416,,,,
2590000000,-36.98163968,,,,
2600000000,-37.0203452,,,,
2610000000,-37.04905072,,,,
2620000000,-37.08775624,,,,
2630000000,-37.10646176,,,,
2640000000,-37.15516728,,,,
2650000000,-37.1738728,,,,
2660000000,-37.21257832,,,,
2670000000,-37.24128384,,,,
2680000000,-37.26998936,,,,
2690000000,-37.29869488,,,,
2700000000,-37.3374004,,,,
2710000000,-37.36610592,,,,
2720000000,-37.40481144,,,,
2730000000,-37.42351696,,,,
2740000000,-37.46222248,,,,
2750000000,-37.480928,,,,
2760000000,-37.50963352,,,,
2770000000,-37.54833904,,,,
2780000000,-37.57704456,,,,
2790000000,-37.60575008,,,,
2800000000,-37.6444556,,,,
2810000000,-37.66316112,,,,
2820000000,-37.70186664,,,,
2830000000,-37.72057216,,,,
2840000000,-37.75927768,,,,
2850000000,-37.7879832,,,,
2860000000,-37.81668872,,,,
2870000000,-37.84539424,,,,
2880000000,-37.86409976,,,,
2890000000,-37.90280528,,,,
2900000000,-37.9315108,,,,
2910000000,-37.96021632,,,,
2920000000,-37.98892184,,,,
2930000000,-38.01762736,,,,
2940000000,-38.03633288,,,,
2950000000,-38.0750384,,,,
2960000000,-38.10374392,,,,
2970000000,-38.13244944,,,,
2980000000,-38.16115496,,,,
2990000000,-38.17986048,,,,
3000000000,-38.208566,,,,
